new_la_code,la_name,region_name,fairness_combined,Local authority,positive_proportion,inspection_norm,gender_equity_index_refined,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
E10000016,Kent,South East,0.6198346085752073,Kent,0.7973484848484849,0.4667065390749602,0.5662397842501208,0.6198346085752073,0.4667065390749602,3,51.774922890837594
E10000017,Lancashire,North West,0.5209439119204895,Lancashire,0.789103690685413,0.4450097123300341,0.4943669420638301,0.5209439119204895,0.4450097123300341,3,47.03211121935192
E10000018,Leicestershire,East Midlands,0.6223968100171805,Leicestershire,0.7435897435897436,0.3252361673414305,0.518390585080668,0.6223968100171805,0.3252361673414305,3,42.42897149000138
E10000019,Lincolnshire,East Midlands,0.5262954442502462,Lincolnshire,0.7347560975609756,0.30198973042362,0.447788444410927,0.5262954442502462,0.30198973042362,3,37.67583016991621
E10000020,Norfolk,East of England,0.4978930730965027,Norfolk,0.71671388101983,0.254510213210079,0.4127090721362544,0.4978930730965027,0.254510213210079,3,33.563783317222025
E10000024,Nottinghamshire,East Midlands,0.5086296089943709,Nottinghamshire,0.781021897810219,0.4237418363426816,0.4789188885662797,0.5086296089943709,0.4237418363426816,3,45.203776055991135
E10000025,Oxfordshire,South East,0.4376291299291726,Oxfordshire,0.8326848249027238,0.5596969076387468,0.4803528521275235,0.4376291299291726,0.5596969076387468,3,51.9007648402222
E10000028,Staffordshire,West Midlands,0.4694236253040774,Staffordshire,0.775438596491228,0.4090489381348106,0.448292484794834,0.4694236253040774,0.4090489381348106,3,42.91738338578995
E10000029,Suffolk,East of England,0.5932191760611907,Suffolk,0.7647058823529411,0.3808049535603713,0.518874198185904,0.5932191760611907,0.3808049535603713,3,45.160969439397775
E10000030,Surrey,South East,0.6197139499087104,Surrey,0.8305647840531561,0.5541178527714635,0.596755315910674,0.6197139499087104,0.5541178527714635,3,57.598321848387926
E10000031,Warwickshire,West Midlands,0.525191668682859,Warwickshire,0.7703349282296651,0.3956182321833292,0.4798409659080236,0.525191668682859,0.3956182321833292,3,43.88093776831725
E10000032,West Sussex,South East,0.5438355953001779,West Sussex,0.8015873015873016,0.4778613199665832,0.5207445989334197,0.5438355953001779,0.4778613199665832,3,49.98527450777814
E10000034,Worcestershire,West Midlands,0.491072839706962,Worcestershire,0.7227722772277227,0.2704533611255862,0.4138560222034805,0.491072839706962,0.2704533611255862,3,34.39931873193782
